epoch,accuracy,loss,val_accuracy,val_loss
0,0.9602430462837219,0.10536840558052063,0.9880596995353699,0.04178809002041817
1,0.9836805462837219,0.045686107128858566,0.9850746393203735,0.049329593777656555
2,0.9873263835906982,0.03704090416431427,0.9895522594451904,0.037579335272312164
3,0.988194465637207,0.034331176429986954,0.9895522594451904,0.040593430399894714
4,0.9888888597488403,0.027153918519616127,0.9902985095977783,0.038171734660863876
5,0.9901041388511658,0.02719948999583721,0.9902985095977783,0.03730076923966408
6,0.9892361164093018,0.026794815436005592,0.9925373196601868,0.03555070981383324
7,0.9907985925674438,0.024719402194023132,0.9932835698127747,0.03342593088746071
8,0.9916666746139526,0.023482291027903557,0.9925373196601868,0.029248934239149094
9,0.9909722208976746,0.023095885291695595,0.9932835698127747,0.029775027185678482
10,0.9923611283302307,0.019648851826786995,0.9932835698127747,0.02979377843439579
11,0.9927083253860474,0.018363699316978455,0.9925373196601868,0.03125879541039467
12,0.9934027791023254,0.01953570358455181,0.9888059496879578,0.03896870091557503
13,0.9923611283302307,0.01937583088874817,0.9932835698127747,0.029377222061157227
14,0.9923611283302307,0.019834646955132484,0.9932835698127747,0.029452215880155563
15,0.9956597089767456,0.01456624548882246,0.987313449382782,0.047294385731220245
16,0.9923611283302307,0.019056212157011032,0.9910447597503662,0.03607480227947235
17,0.9944444298744202,0.01690109632909298,0.9925373196601868,0.03670526295900345
18,0.9956597089767456,0.014520780183374882,0.9895522594451904,0.04295290261507034
19,0.9940972328186035,0.017015740275382996,0.9932835698127747,0.02990572713315487
