epoch,accuracy,loss,val_accuracy,val_loss
0,0.9123263955116272,0.2186104953289032,0.9753731489181519,0.06456591188907623
1,0.9680555462837219,0.08512113243341446,0.9783582091331482,0.05190391093492508
2,0.9755208492279053,0.06707081198692322,0.9813432693481445,0.04810478538274765
3,0.9772569537162781,0.059910859912633896,0.9828358292579651,0.04614606127142906
4,0.9814236164093018,0.05210079625248909,0.9828358292579651,0.04463038221001625
5,0.9824652671813965,0.05181115120649338,0.9805970191955566,0.04489997401833534
6,0.9857639074325562,0.044182371348142624,0.983582079410553,0.04427570104598999
7,0.9845486283302307,0.043436065316200256,0.9888059496879578,0.042420826852321625
8,0.9835069179534912,0.046016331762075424,0.9895522594451904,0.039229828864336014
9,0.9852430820465088,0.0386589877307415,0.983582079410553,0.042506102472543716
10,0.9868055582046509,0.03674347326159477,0.9888059496879578,0.03997596353292465
11,0.9871527552604675,0.0371917262673378,0.9880596995353699,0.04003392532467842
12,0.9854166507720947,0.03929668292403221,0.9880596995353699,0.038986753672361374
13,0.9850694537162781,0.03669217973947525,0.9888059496879578,0.037769775837659836
14,0.9880208373069763,0.03361618146300316,0.9888059496879578,0.03858994320034981
15,0.988194465637207,0.03219303488731384,0.9880596995353699,0.037315595895051956
16,0.9873263835906982,0.03431977331638336,0.9880596995353699,0.04147890582680702
17,0.9887152910232544,0.031586725264787674,0.9865671396255493,0.0370534211397171
18,0.9887152910232544,0.03318034112453461,0.9858208894729614,0.03676483780145645
19,0.9892361164093018,0.029738057404756546,0.987313449382782,0.036674272269010544
