epoch,accuracy,loss,val_accuracy,val_loss
0,0.8348958492279053,0.4339059591293335,0.5,1.184816598892212
1,0.8840277791023254,0.3089703917503357,0.550000011920929,0.9542303085327148
2,0.8994791507720947,0.2683990001678467,0.9305970072746277,0.18038080632686615
3,0.9086805582046509,0.24339476227760315,0.9634328484535217,0.11053434014320374
4,0.9234374761581421,0.21204863488674164,0.9656716585159302,0.10281813889741898
5,0.9243055582046509,0.20411339402198792,0.967164158821106,0.10448024421930313
6,0.9267361164093018,0.19764477014541626,0.9656716585159302,0.11004123836755753
7,0.9234374761581421,0.20099703967571259,0.9701492786407471,0.10288769006729126
8,0.9288194179534912,0.18816718459129333,0.970895528793335,0.09384269267320633
9,0.9394097328186035,0.16586993634700775,0.9746268391609192,0.0843236967921257
10,0.9385416507720947,0.15752772986888885,0.9776119589805603,0.07885076105594635
11,0.9423611164093018,0.1550326943397522,0.9738805890083313,0.0832345262169838
12,0.9407986402511597,0.1619340032339096,0.9753731489181519,0.07765988260507584
13,0.9460069537162781,0.14603091776371002,0.9701492786407471,0.09820184111595154
14,0.9461805820465088,0.13911660015583038,0.9626865386962891,0.11243654042482376
15,0.9482638835906982,0.13968370854854584,0.9731343388557434,0.08816522359848022
16,0.9465277791023254,0.14429104328155518,0.9798507690429688,0.07532025128602982
17,0.9467014074325562,0.14387726783752441,0.9753731489181519,0.08326070755720139
18,0.9552083611488342,0.12943901121616364,0.9753731489181519,0.08451085537672043
19,0.9545139074325562,0.12027035653591156,0.9783582091331482,0.07557361572980881
20,0.9519097208976746,0.1226242259144783,0.9791044592857361,0.06988433748483658
21,0.9541666507720947,0.11915171891450882,0.9738805890083313,0.07543854415416718
22,0.9555555582046509,0.12120555341243744,0.9783582091331482,0.07721687108278275
23,0.9546874761581421,0.1189839243888855,0.9798507690429688,0.06948097050189972
24,0.9553819298744202,0.11623410135507584,0.9746268391609192,0.07962284237146378
